Process1,Cnt,Week,Amount,Process2,Cnt,Week,Amount,Process3,Cnt,Week,Amount,Process4,Cnt,Week,Amount,Process5,Cnt,Week,Amount,Demand
Sourcing,HUNGARY,1,745.0,Conditioning,AUSTRIA,4,745.0,Treatment,SLOVENIA,5,745.0,Forwarding,SLOVENIA,10,745.0,Delivery,HUNGARY,15,745.0,1
Sourcing,AUSTRIA,1,6161.9,,,,,Treatment,SLOVENIA,9,6161.9,Forwarding,SLOVENIA,16,6161.9,Delivery,HUNGARY,16,6161.9,2
Sourcing,FRANCE,1,1500.0,Conditioning,FRANCE,2,1500.0,Treatment,FRANCE,11,1500.0,Forwarding,FRANCE,17,1500.0,Delivery,MOLDOVA,18,1500.0,3
,,,,,,,,,,,,Forwarding,ITALY,22,3488.23999999999,Delivery,ROMANIA,22,3488.23999999999,4
Sourcing,FRANCE,1,731.470000000001,Conditioning,FRANCE,10,731.470000000001,Treatment,ITALY,17,731.470000000001,Forwarding,ITALY,23,731.470000000001,Delivery,ROMANIA,23,731.470000000001,5
,,,,,,,,,,,,Forwarding,ROMANIA,23,12972.25,Delivery,ROMANIA,23,12972.25,6
,,,,Conditioning,HUNGARY,2,1737.04,Treatment,HUNGARY,8,1737.04,Forwarding,HUNGARY,22,1737.04,Delivery,ROMANIA,23,1737.04,7
,,,,Conditioning,AUSTRIA,10,10860.0,Treatment,SLOVENIA,19,10860.0,Forwarding,SLOVENIA,23,10860.0,Delivery,BULGARIA,23,10860.0,8
Sourcing,SERBIA,1,4706.1,Conditioning,SERBIA,10,4706.1,Treatment,HUNGARY,16,4706.1,Forwarding,HUNGARY,24,4706.1,Delivery,HUNGARY,24,4706.1,9
Sourcing,FRANCE,1,5000.0,Conditioning,FRANCE,10,5000.0,Treatment,FRANCE,19,5000.0,Forwarding,FRANCE,28,5000.0,Delivery,HUNGARY,28,5000.0,10
Sourcing,ROMANIA,1,500.0,Conditioning,ROMANIA,15,500.0,Treatment,ROMANIA,23,500.0,Forwarding,ROMANIA,28,500.0,Delivery,MOLDOVA,28,500.0,11
